file,condition,dice,iou
test_005_tissue0_TCGA-A6-6782-01A-01-BS1.png,clean,0.28042733881494414,0.16307966807386062
test_005_tissue0_TCGA-A6-6782-01A-01-BS1.png,noise_sigma10,0.28043143827376293,0.16308244086077264
test_005_tissue0_TCGA-A6-6782-01A-01-BS1.png,noise_sigma25,0.28042058702639433,0.1630751013362467
test_005_tissue0_TCGA-A6-6782-01A-01-BS1.png,blur_k3,0.2804331263210552,0.16308358262396608
test_005_tissue0_TCGA-A6-6782-01A-01-BS1.png,blur_k7,0.2804514549998342,0.16309597993920383
test_005_tissue0_TCGA-A6-6782-01A-01-BS1.png,down_up_0.5,0.2804336086240143,0.1630839088449578
test_005_tissue0_TCGA-A6-6782-01A-01-BS1.png,down_up_0.25,0.2804408433674823,0.16308880231645007
test_005_tissue0_TCGA-A6-6782-01A-01-BS1.png,contrast_0.8,0.2804285445256844,0.16308048358963528
test_005_tissue0_TCGA-A6-6782-01A-01-BS1.png,contrast_1.2,0.2804290268128835,0.16308080979822892
test_005_tissue0_TCGA-A6-6782-01A-01-BS1.png,gamma_0.8,0.28042227494305133,0.16307624299667198
test_005_tissue0_TCGA-A6-6782-01A-01-BS1.png,gamma_1.2,0.28043577900785993,0.16308537685557123
test_006_tissue0_TCGA-HT-8564-01Z-00-DX1.png,clean,0.1860727093964207,0.10258002642129362
test_006_tissue0_TCGA-HT-8564-01Z-00-DX1.png,noise_sigma10,0.18606865901772993,0.10257756443910995
test_006_tissue0_TCGA-HT-8564-01Z-00-DX1.png,noise_sigma25,0.18606984035996613,0.10257828250503913
test_006_tissue0_TCGA-HT-8564-01Z-00-DX1.png,blur_k3,0.18606849025577787,0.10257746185908359
test_006_tissue0_TCGA-HT-8564-01Z-00-DX1.png,blur_k7,0.18606849025577787,0.10257746185908359
test_006_tissue0_TCGA-HT-8564-01Z-00-DX1.png,down_up_0.5,0.1860683214941319,0.1025773592792624
test_006_tissue0_TCGA-HT-8564-01Z-00-DX1.png,down_up_0.25,0.18607102171720302,0.10257900058102164
test_006_tissue0_TCGA-HT-8564-01Z-00-DX1.png,contrast_0.8,0.1860728781660263,0.10258012900644929
test_006_tissue0_TCGA-HT-8564-01Z-00-DX1.png,contrast_1.2,0.1860713592505974,0.10257920574743462
test_006_tissue0_TCGA-HT-8564-01Z-00-DX1.png,gamma_0.8,0.1860727093964207,0.10258002642129362
test_006_tissue0_TCGA-HT-8564-01Z-00-DX1.png,gamma_1.2,0.18607220308944086,0.10257971866705766
test_007_tissue0_TCGA-IZ-8196-01A-01-BS1.png,clean,0.3876038622024198,0.2403899718662558
test_007_tissue0_TCGA-IZ-8196-01A-01-BS1.png,noise_sigma10,0.38759104901690133,0.24038011497057488
test_007_tissue0_TCGA-IZ-8196-01A-01-BS1.png,noise_sigma25,0.38758167405199734,0.24037290311999104
test_007_tissue0_TCGA-IZ-8196-01A-01-BS1.png,blur_k3,0.3876354300053834,0.24041425693612065
test_007_tissue0_TCGA-IZ-8196-01A-01-BS1.png,blur_k7,0.38768108636901105,0.24044938199970747
test_007_tissue0_TCGA-IZ-8196-01A-01-BS1.png,down_up_0.5,0.3876444949782042,0.2404212307836937
test_007_tissue0_TCGA-IZ-8196-01A-01-BS1.png,down_up_0.25,0.3876295543081791,0.24040973669785828
