experiment,mean_dice,std_dice,min_dice,max_dice,n
baseline,0.5148790423677879,0.21995086515353143,0.0041928721173125185,0.9643705463125631,300
score_select,0.3531384535061376,0.16998132383723052,0.0,0.9637551990435903,300
oracle_select,0.48265509614318763,0.2242474414449048,0.0033222591361574375,0.9637551990435903,300
box_plus_point,0.3632682369164001,0.19058065934723567,0.0014234875444738542,0.9584587597774927,300
strong_baseline,0.3836157965295021,0.2484434136272246,0.0,0.9584086799218903,300
