id,dice_score_select,dice_oracle_select,dice_box_point,dice_strong_baseline
BRATS_482_z117,0.5348410167193052,0.7305325127097531,0.5241026612363632,0.43700134291773673
BRATS_482_z094,0.4087236626707458,0.6669104873359541,0.3931528419767394,0.40807718669246157
BRATS_482_z079,0.36045977011470576,0.547703921156901,0.4179886031107208,0.44997882253244387
BRATS_482_z066,0.04539951573836138,0.0667384284172942,0.045329249617012776,0.01926782273600608
BRATS_482_z092,0.3876770391810257,0.4336012025204176,0.3812137846902606,0.45348908699633966
BRATS_482_z086,0.3694689084599042,0.4191595010291757,0.3511210307393978,0.8035791600507959
BRATS_482_z076,0.31836486589140767,0.49515608180780385,0.27937058274417964,0.31956856702594794
BRATS_482_z085,0.3578344612179293,0.40290721528608936,0.35200737402685783,0.346367026100803
BRATS_361_z130,0.18007312614177298,0.1963350785314616,0.1807339449532994,0.12393834539124272
BRATS_361_z061,0.23512177256869599,0.29265990087256866,0.23110151187863373,0.2230715774839766
BRATS_361_z092,0.528994322789407,0.6658133879423195,0.5276569926175269,0.6706139786321655
BRATS_361_z133,0.08675263774861224,0.11138014527710194,0.08711006474345433,0.0891029500295659
BRATS_361_z121,0.5776783494889941,0.8690022848405599,0.5940695296508332,0.5617760617747062
BRATS_361_z118,0.6132095378758954,0.8658682634704615,0.6292767431775027,0.524135446684935
BRATS_361_z069,0.36225459151315736,0.5043664230965882,0.3697478991591859,0.3414223930798397
BRATS_361_z073,0.41187131853147724,0.524509090908328,0.4238750291438285,0.37581395348798363
BRATS_018_z082,0.47356616469042484,0.6893540516236171,0.43301838423757927,0.395425055179991
BRATS_018_z056,0.3978462458863329,0.5379002837443496,0.3481103700793146,0.2890311381140403
BRATS_018_z054,0.40130455039540097,0.47913962543949723,0.3748730596251634,0.2495894909685602
BRATS_018_z065,0.45434679334873695,0.6798074029481195,0.3830809901462925,0.32692965064584195
BRATS_018_z103,0.47046301223992754,0.8082285714267241,0.6917057902959866,0.8955375253526989
BRATS_018_z063,0.4493185689944108,0.4760830324904376,0.37348437914826665,0.28362121110270605
BRATS_018_z113,0.22081268582711436,0.5970654627505809,0.8944636678123317,0.9022026431638573
BRATS_018_z111,0.27213662520833093,0.5383759733016745,0.913071474559478,0.8971608832750968
BRATS_463_z105,0.4828952106581151,0.6366591647896058,0.5122230710456221,0.47209998239663425
BRATS_463_z071,0.3936242589169077,0.5159533073923269,0.39562371788571293,0.4069589988804487
BRATS_463_z124,0.21099290779954796,0.21975992612908812,0.19636963696207618,0.15740740740636636
BRATS_463_z091,0.39169889913687017,0.5786510123390695,0.37966834895430446,0.3396372555345384
BRATS_463_z112,0.4627075710654019,0.5182134938216084,0.45452032070651227,0.22874634757168674
BRATS_463_z095,0.3418140699456087,0.5022394744692412,0.340850515463643,0.322521137586224
BRATS_463_z051,0.09962212298145097,0.17774936061267424,0.10222065562177575,0.07282772476124352
BRATS_463_z092,0.3881703350726963,0.5457317073163799,0.378020035356233,0.3217222117615504
BRATS_427_z040,0.31087928464931314,0.37662589788317485,0.2721106183142811,0.1918337318372339
BRATS_427_z082,0.5091159948748308,0.5608166811462197,0.49003605997296446,0.44712252205008546
BRATS_427_z073,0.5297974361478326,0.7514904298701733,0.5219507446699874,0.39115351257560627
BRATS_427_z030,0.032058287795875925,0.03426791277245223,0.033924441017602454,0.01596516690853417
BRATS_427_z109,0.37372672989045713,0.8050314465369859,0.4502219403921999,0.8965517241336373
BRATS_427_z056,0.4756844380399174,0.6678575985700296,0.4897466827498471,0.33662861151837703
BRATS_427_z078,0.5139009139004195,0.5674211029640129,0.4695422535207134,0.3295251034395544
BRATS_427_z090,0.5066499109849129,0.6026666666654305,0.5178839151847099,0.39825197889149216
BRATS_371_z057,0.4698331193831553,0.49186202777289556,0.4657146896642645,0.5847246891641479
BRATS_371_z066,0.4273195876283153,0.7418793503458763,0.4317146204915614,0.8744756372995338
BRATS_371_z081,0.1675977653628684,0.4967741935457163,0.15035500487240658,0.16509506878935679
BRATS_371_z087,0.014598540145878844,0.01628664495100744,0.01062699256104874,0.005409791723004031
BRATS_371_z047,0.2855656697001676,0.36429993364179064,0.30339872892980546,0.3312217194560144
BRATS_371_z075,0.33620375985404943,0.5429158110871809,0.3145710394912454,0.3290598290594384
BRATS_371_z043,0.18273471959557194,0.18331226295712194,0.18273471959557194,0.18261964735401373
BRATS_371_z048,0.33059788979992827,0.41470588235172146,0.3584138281638068,0.648397584762432
BRATS_267_z089,0.3198384122241856,0.5015325670488476,0.2853109560032269,0.23245670301460392
BRATS_267_z100,0.3999379941091304,0.5695705521465404,0.3444822751850294,0.3174172879056636
BRATS_267_z099,0.3914873713748117,0.576875768756978,0.34608228240621175,0.3045482110368074
BRATS_267_z132,0.22666666666498766,0.32380952380609723,0.2268346923630331,0.32553191489015393
BRATS_267_z113,0.38135019191648073,0.6093718843457441,0.35074239435120885,0.3128897161467539
BRATS_267_z083,0.2132280355374797,0.33132287896931517,0.18316726733054237,0.058406002839141206
BRATS_267_z104,0.39002699698238047,0.5538346240312843,0.3433764418033251,0.32362630122524466
BRATS_267_z116,0.38288577669230006,0.5850398792830674,0.38607512105694797,0.4466079431302015
BRATS_183_z097,0.0,0.14215418261267276,0.09473684210493075,0.13465553235837863
BRATS_183_z106,0.0076142131979212305,0.31692913385722793,0.2614519153488844,0.11090909090896486
