file,condition,dice,iou
case_00000_z161.png,clean,0.4444444441975308,0.28571428551020406
case_00000_z161.png,noise_sigma10,0.0,0.0
case_00000_z161.png,noise_sigma25,0.124999999921875,0.06666666662222222
case_00000_z161.png,blur_k3,0.4444444441975308,0.28571428551020406
case_00000_z161.png,blur_k7,0.4210526313573407,0.26666666648888887
case_00000_z161.png,down_up_0.5,0.5454545452066115,0.374999999765625
case_00000_z161.png,down_up_0.25,0.124999999921875,0.06666666662222222
case_00000_z161.png,contrast_0.8,0.4444444441975308,0.28571428551020406
case_00000_z161.png,contrast_1.2,0.4444444441975308,0.28571428551020406
case_00000_z161.png,gamma_0.8,0.4444444441975308,0.28571428551020406
case_00000_z161.png,gamma_1.2,0.4444444441975308,0.28571428551020406
case_00000_z162.png,clean,0.595744680825713,0.42424242421671254
case_00000_z162.png,noise_sigma10,0.5896414342394565,0.41807909602157745
case_00000_z162.png,noise_sigma25,0.5887096773956165,0.4171428571190204
case_00000_z162.png,blur_k3,0.5726872246443749,0.401234567876467
case_00000_z162.png,blur_k7,0.5188284518611369,0.3502824858559162
case_00000_z162.png,down_up_0.5,0.5301204819064208,0.36065573768521003
case_00000_z162.png,down_up_0.25,0.5251798560962165,0.35609756095823913
case_00000_z162.png,contrast_0.8,0.5665236051259003,0.39520958081465807
case_00000_z162.png,contrast_1.2,0.5573770491574845,0.38636363634168386
case_00000_z162.png,gamma_0.8,0.5982905982650303,0.42682926826665674
case_00000_z162.png,gamma_1.2,0.595744680825713,0.42424242421671254
case_00000_z163.png,clean,0.8102766798258838,0.6810631229009614
case_00000_z163.png,noise_sigma10,0.8181818181656486,0.6923076922845381
case_00000_z163.png,noise_sigma25,0.8255813953328376,0.7029702970065026
case_00000_z163.png,blur_k3,0.8032128513894937,0.6711409395747939
case_00000_z163.png,blur_k7,0.7983367983202009,0.6643598615687073
case_00000_z163.png,down_up_0.5,0.799999999984,0.6666666666444444
case_00000_z163.png,down_up_0.25,0.7659574467922137,0.6206896551510107
case_00000_z163.png,contrast_0.8,0.808678500970243,0.6788079469973904
case_00000_z163.png,contrast_1.2,0.8183632734367592,0.69256756754417
case_00000_z163.png,gamma_0.8,0.8205128204966368,0.6956521738897775
case_00000_z163.png,gamma_1.2,0.808678500970243,0.6788079469973904
case_00000_z164.png,clean,0.8025641025538133,0.670235546024192
