id,case_id,z,sam_score,dice,iou,sens,spec
BRATS_482_z117,BRATS_482,117,0.9636923670768738,0.7567641807433639,0.6087052585050625,0.9949440231094441,0.9679560832374081
BRATS_482_z094,BRATS_482,94,0.941993772983551,0.5918788713003044,0.4203323558157702,0.9999999999974161,0.9006700167502512
BRATS_482_z079,BRATS_482,79,0.9360987544059753,0.6316163410294474,0.46157840082993845,0.9719387755066621,0.9446915560739128
BRATS_482_z066,BRATS_482,66,0.9217907190322876,0.09373020899243997,0.04916943521562014,0.9866666665351111,0.9751412429376837
BRATS_482_z092,BRATS_482,92,0.9516863822937012,0.5423385638870907,0.37206072030918536,0.9999999999973334,0.8824698235838658
BRATS_482_z086,BRATS_482,86,0.960493803024292,0.5311133277061835,0.3615754283322591,0.9999999999971106,0.8871238848148494
BRATS_482_z076,BRATS_482,76,0.9425468444824219,0.5752703077341623,0.4037750535115708,0.9904534606157974,0.9451580938652473
BRATS_482_z085,BRATS_482,85,0.9581900238990784,0.5020083254213817,0.33512090483586665,0.9999999999970905,0.8741022469211687
BRATS_361_z130,BRATS_361,130,0.9488048553466797,0.24686716791825272,0.14081486776168112,0.9999999999492385,0.9790603278572585
BRATS_361_z061,BRATS_361,61,0.8377522826194763,0.36769759450066525,0.22526315789394646,0.9999999999844237,0.9612345939111343
BRATS_361_z092,BRATS_361,92,0.9696670770645142,0.6549516756612841,0.48693542366463805,0.9999999999961672,0.9500100016364588
BRATS_361_z133,BRATS_361,133,0.9014232158660889,0.18204182041596503,0.10013531799593862,0.999999999864865,0.9884400097345569
BRATS_361_z121,BRATS_361,121,0.9520326852798462,0.6763509587429508,0.510974539067116,0.9982847341252292,0.9802955665022894
BRATS_361_z118,BRATS_361,118,0.9532049298286438,0.6890995260647178,0.5256688358621632,0.998626373619515,0.9766671416356197
BRATS_361_z069,BRATS_361,69,0.9428912401199341,0.47354409317724866,0.31022454763394325,0.9951048950979364,0.9437956204377882
BRATS_361_z073,BRATS_361,73,0.9433205723762512,0.4804439746293863,0.3161739130429284,0.9999999999944995,0.9295113118925586
BRATS_018_z082,BRATS_018,82,0.9489997029304504,0.6670427620437018,0.5004232266793628,0.999999999996617,0.9459959007391578
BRATS_018_z056,BRATS_018,56,0.9239630103111267,0.6069878967787007,0.43573770491660413,0.9977477477402572,0.9694675481621936
BRATS_018_z054,BRATS_018,54,0.9453451633453369,0.610441767066831,0.4393063583800092,0.9999999999922602,0.9707146409034293
BRATS_018_z065,BRATS_018,65,0.9504007697105408,0.6443875488469959,0.4753479125239059,0.9999999999958177,0.9521998224925371
BRATS_018_z103,BRATS_018,103,0.965986430644989,0.8875502008009851,0.7978339350144502,0.999999999994344,0.9919759277831725
