file,condition,dice,iou
spleen_10_z023.png,clean,0.7365892714112363,0.5830164765452089
spleen_10_z023.png,noise_sigma10,0.7581168831107297,0.6104575163318894
spleen_10_z023.png,noise_sigma25,0.7687242798290641,0.6243315507937923
spleen_10_z023.png,blur_k3,0.7463884430116663,0.5953905249603663
spleen_10_z023.png,blur_k7,0.7381144238457849,0.5849297573360801
spleen_10_z023.png,down_up_0.5,0.7389240506270656,0.5859473023765879
spleen_10_z023.png,down_up_0.25,0.7751037344334017,0.6327913279047047
spleen_10_z023.png,contrast_0.8,0.7340173638458247,0.5798004987458878
spleen_10_z023.png,contrast_1.2,0.7391304347766576,0.5862068965442374
spleen_10_z023.png,gamma_0.8,0.7348242811442905,0.5808080808007474
spleen_10_z023.png,gamma_1.2,0.7370103916807593,0.5835443037900817
spleen_10_z024.png,clean,0.9355539464122536,0.8789115646198714
spleen_10_z024.png,noise_sigma10,0.9340101522808775,0.8761904761845157
spleen_10_z024.png,noise_sigma25,0.9448703906500735,0.895501730097609
spleen_10_z024.png,blur_k3,0.933671620148845,0.8755948334406827
spleen_10_z024.png,blur_k7,0.92186379927985,0.8550531914836765
spleen_10_z024.png,down_up_0.5,0.9269175108504816,0.8637896156381404
spleen_10_z024.png,down_up_0.25,0.914953933377339,0.843239712600632
spleen_10_z024.png,contrast_0.8,0.9345388788392964,0.8771215207000875
spleen_10_z024.png,contrast_1.2,0.938997821347353,0.8850102669343942
spleen_10_z024.png,gamma_0.8,0.9346334416723199,0.8772881355872727
spleen_10_z024.png,gamma_1.2,0.9369108049277125,0.881309686214998
spleen_10_z025.png,clean,0.9414658140655645,0.8894052044568337
spleen_10_z025.png,noise_sigma10,0.9401080019613645,0.8869847151417926
spleen_10_z025.png,noise_sigma25,0.9355153883709441,0.8788435061914693
spleen_10_z025.png,blur_k3,0.9431818181794882,0.8924731182753975
spleen_10_z025.png,blur_k7,0.9413801632427866,0.8892523364444428
spleen_10_z025.png,down_up_0.5,0.9471595137659461,0.8996229971682393
